lemma,part_of_speech,translation,relations
ozhitoon,class 2 transitive inanimate verb,"make, build, form it Paired with:ozhi'","ozhi', ozhitoon, ozhitamaw, ozhitaw, ozhishin, ozisin, giizhitoon, giizhi', wewiibitoon, wewiibi', nitaawitoon, nitaawi', izhitoon, izhitaw, izhitamaw, izhi', ozhishim, onizhishitoon, onizhishi', maanaajitoon, maanaaji', aanjitoon, aanji', wawiingetoon, wawiinge', onizhishitoon, onizhishi', maanaajitoon, maanaaji', maajitoon, maaji'"
izhi',transitive animate verb,make or cause h/ to be a certain waymake or cause h/ to do something (a certain way) Paired with:izhitoon,izhitoon
apishimonike,animate intransitive verb,"s/he spreads boughs on the floor, makes a bed (as in camp)",ozhishim
wawezhi',transitive animate verb,"decorate, adorn h/; dress up, make up h/ Paired with:wawezhitoon",wawezhitoon
naabe-makwa,animate noun,"a male bear, a boar (bear) See also:abek","naabek, naabe-makwa"
naabe-,lexical preverb,male,
ininishib,animate noun,a mallard See also:aninishib,"aninishib, aninishib, ininishib, ininishib"
inini,animate noun,a man,
gashki',transitive animate verb,"earn h/ (e.g., money); manage h/ or it (animate); overpower, prel over, conquer h/ or it (animate) Paired with:gashkitoon","gashkitoon, gashki', bwaanawitoon, bwaanawi'"
niibiwa,quantitative adverb,a lot; many; much See also:niibowa,"niibowa, gichi-niibowa, baatayiinowag, baataniinowag, baatayiinowag, dashiwag, dasin, dasinoon, dashi"
akii-mazina'igan,inanimate noun,a map,
aninaatig,animate noun,a maple See also:iniatig;ziinzibaakwadwaatig,"ininaatig, ininaatig, aninaatig, aninaatig, ziinzibaakwadaaboo, ziinzibaakwadwaaboo, zhiiwaagamizigan, anishinaabe-zhiiwaagamizigan"
ziinzibaakwadwaaboo,inanimate noun,maple sap See also:ziinzibaakwadaaboo,"ziinzibaakwadaaboo, ziinzibaakwadwaaboo"
anishinaabe-ziinzibaakwad,inanimate noun,maple sugar,
bigiwizigan,inanimate noun,maple taffy,
aninaatig,animate noun,a maple See also:iniatig;ziinzibaakwadwaatig,"ininaatig, ininaatig, aninaatig, aninaatig"
nemaab,animate noun,a pool ball; a marble,
aandego-giizis,animate noun,March,
noozhesim,animate noun,"a marea female dog, a bitch",
doodooshaaboo-bimidewikaan,inanimate noun,margarine,
mizay,animate noun,"a ling, an eelpout, a burbot, a mariah, a lawyer (fish)",beshibii'wi
beshibii'wi,transitive animate verb,mark h/ or it (animate) with a stripe Paired with:beshibii'an,"beshibii'an, beshibii'wi"
ezhishin,animate intransitive verb,s/he leaves a mark,
wiiyaas-adaawewigamig,inanimate noun,"a butcher shop, a meat market",
wiidigendiwin,inanimate noun,a marriage; a wedding,
aapiji-wiidige-mazina'igan,inanimate noun,a marriage license,
aapiji-wiidige,animate intransitive verb,s/he is legally married,
zhigwaajiganaak,inanimate noun,a tool for extracting marrow from bones,
wiidigem,transitive animate verb,"live with h/marry h/, be married to h/",
waabizheshi,animate noun,a marten,waabizheshiwayaan
waabizheshiwayaan,animate noun,a marten hide,
zhaashaawanibiisens,animate noun,a martin,waasiingwaagan
waasiingwaagan,animate noun,a costume mask,
zinigojiibizh,transitive animate verb,massage h/; rub h/ belly,
zinigojiibizhiwewinini,animate noun,a masseur,
zinigojiibizhiwewikwe,animate noun,a masseuse,
anaakan,inanimate noun,"a woven mat, a rug",
ishkodens,inanimate noun,a match,
miniingwaan,inanimate noun,matter in or near in eyes,
di-,animate intransitive verb,s/he has a certain thing the matter with h/; s/he is in a certain condition,
apishimon,inanimate noun,"something placed to lie on: a mattress, an air mattress, bedding placed on the floor",
daashkiga'igewi-waagaakwad,inanimate noun,a splitting maul,
Okikaandagoonsing,place name,"Max, Minnesota",
zaagibagaa-giizis,animate noun,May,
ganabaj,manner adverb,"I think that..., perhaps, maybe","maagizhaa, gemaa gaye"
omiimiisi,animate noun,a mayfly,
niin,personal pronoun,"I, me See also:gaye ;ge",gaye niin
jiigashkosiw,locational adverb,by a meadow,
inigaa',transitive animate verb,"abuse, injure, damage h/: be mean to, be aggressive toward h/",
ganage,manner adverb,"in the least, by any means See also:gaawiin ;gego",gaawiin ganage
miskwazhe,animate intransitive verb,s/he has measles,
diba'wi,transitive animate verb,pay for h/ or it (animate); bail h/ out Paired with:diba'an See also:diba',"diba'an, diba', dibaabiiginan, dibaabiigin"
dibi-gwaaba'igewinaaganens,inanimate noun,a measuring cup,
diba'aatigwaan,inanimate noun,"a measuring used for measuring: a yardstick, a timber measuring stick,  a ruler",
wiiyaas,inanimate noun,meat; flesh; a piece of meat,"bigishkiboodewi-wiiyaas, ashkini, ashkin"
wiiyaas-adaawewigamig,inanimate noun,"a butcher shop, a meat market",
nanaa'idaabaanewinini,animate noun,an automobile mechanic,
mashkikiiwan,inanimate intransitive verb,"it is a medicine, is medicinal",
mashkiki,inanimate noun,"a pill; medicine, a medicine, a drug","nookwez, mashkikiwaaboo, mashkikiwaabo, mashkikiwaabo"
Midewiwin,inanimate noun,Grand Medicine Society; Medicine Dance;,
nagishkan,transitive inanimate verb,meet it (while going somewhere) Paired with:nagishkaw,"nagishkaw, nagishkan"
zagaswe'idiwag,animate intransitive verb,they have a council meeting; they have a ceremony,
agosimaan,inanimate noun,"a cucurbit (a plant of the gourd family or its fruit): cucumber, gourd, melon, pumpkin, squash, watermelon See also:gichi-na","gichi-agosimaan, gichi-agosimaan"
ningide,inanimate intransitive verb,"it melts, thaws Paired with:ningizo","ningizo, ningide"
ningiz,transitive animate verb,"melt, thaw it (animate) Paired with:an See also:wi","ningizan, ningizwi, ningiz, ningaabikizo, ningaabikiz, ningaabikide"
dibendaagozi,animate intransitive verb,"s/he is controlled, is owneds/he belongs, is a member Paired with:dibendaagwad",dibendaagwad
omanoominii,animate noun,a Menominee,omanoominii
bakaanige,animate intransitive verb,she is secluded at first menses,
giiwanaadiziiwigamig,inanimate noun,a mental hospital,
mikom,transitive animate verb,mention h/; come to h/ mind Paired with:mikondan,"mikondan, mikom"
zhawenjige,animate intransitive verb,"s/he is merciful, is kind-hearted, has pity",
zhawenim,transitive animate verb,"bless, pity h/; show loving-kindess, unconditional love for h/; have mercy, compassion for h/",
anzig,animate noun,a merganser,
minobii,animate intransitive verb,s/he drinks and is merry,
niiskabi,animate intransitive verb,s/he lives in a mess,
oshkaabewis,animate noun,a ceremonial attendant or messenger,
niiskindibe,animate intransitive verb,s/he has messy hair,
biiwaabik,inanimate noun,(a piece of) metal; iron,"biiwaabikowi, biiwaabikowan"
wiisaakodewinini,animate noun,a Metis (especially male); a Native person of mixed ancestry See also:wiisaakodewikwe,"wiisaakodewikwe, wiisaakodewinini"
gizhaabate-gizhaabikizigan,inanimate noun,a microwave oven,
giiwe-niibin,inanimate intransitive verb,"it is after mid-summer, is late summer",
naawayi'ii,locational adverb,in the middle of it See also:naawaya'ii,"naawaya'ii, naanaawagaam"
naawininj,inanimate noun,a middle finger,
eniwek,degree adverb,a little bit; just so; middling; somewhat,
mitigwakik,animate noun,a Mide drum,
midewigaan,inanimate noun,a Mide lodge,
midewigaanaak,inanimate noun,a Mide lodge frame,
miigis,animate noun,"a Mide shell, a pearl",
Midewiwin,inanimate noun,Grand Medicine Society; Medicine Dance;,
aabitaa-dibikad,inanimate intransitive verb,it is midnight,
megwe-,lexical preverb,among; in the midst of,
aabita-biboon,inanimate intransitive verb,it is New Year; it is midwinter,
giiwe-biboon,inanimate intransitive verb,"it is after midwinter, is late winter",
daa-,tense/mode preverb,"modal preverb of possibility, necessity, or obligation: can, could, should, would, might, must",
aabawaa,inanimate intransitive verb,"it is warm weather,  is mild weather",
daso-diba'igan,number,"a certain number of hours, so many hoursa certain number of miles, so many miles","ingo-diba'igan, niiyo-diba'igan, niiwo-diba'igan, ningodwaaso-diba'igan, ingodwaaso-diba'igan, ishwaaso-diba'igan, nishwaaso-diba'igan"
zhimaaganishii-ogimaa,animate noun,a military officer,
doodooshaabo,inanimate noun,milk See also:o,doodooshaaboo
ziinin,transitive animate verb,milk h/; strip liquid from h/ (by hand) Paired with:an,ziininan
binesiwi-miikana,inanimate noun,the Milky Way,
biisiboojigan,inanimate noun,"a grinder, a mill; a sawmill",
biisiboodoon,class 2 transitive inanimate verb,"grind, mill, grate it; saw it into small pieces Paired with:biisiboozh","biisiboozh, biisiboodoon"
Misi-zaaga'iganing,place name,Mille Lacs Lake ; Mille Lacs Reservation See also:Misi-zaaga'iganiing,"Misi-zaaga'iganiing, Misi-zaaga'iganing"
gwekendam,animate intransitive verb,s/he changes h/ (own) mind,"mikwendaagozi, mikwenim, mikwendan, minjimenim, minjimendan, bagidenim, bagidendan"
biiwaabikokaan,inanimate noun,a mine,
biiwaabikokewinini,animate noun,a miner,
gagiikwewikwe,animate noun,"a preacher, a minister (female)",
zhaangweshi,animate noun,a mink,zhaangweshiwayaan
zhaangweshiwayaan,animate noun,a mink hide,
Gakaabikaang,place name,"Minneapolis, Minnesota",
giigoozens,animate noun,a minnow,
daso-diba'igaans,number,"a certain number of minutes, so many minutesa certain number of acres, so many acres","ningo-diba'igaans, ingo-diba'igaans, niiyo-diba'igaans, niiwo-diba'igaans, ningodwaaso-diba'igaans, ingodwaaso-diba'igaans, ishwaaso-diba'igaans, nishwaaso-diba'igaans"
waabamojichaagwaan,inanimate noun,a mirror,
maji-izhiwebizi,animate intransitive verb,"s/he misbehaves, behaves improperly, is naughty, is evil",
wanagindaaso,animate intransitive verb,"s/he miscounts, misreads","wanagindan, wanagim"
zazaagiz,animate noun,"a miser, someone who is stingy",
banitan,transitive inanimate verb,mishear it Paired with:banitaw,"banitaw, banitan"
wanim,transitive animate verb,"mislead, confuse h/ (by speech)",
wanishim,transitive animate verb, Paired with:wanisidoon,"wanisidoon, wanishim"
wanigiizhwe,animate intransitive verb,"s/he makes a mistake speaking, mispronounces something",
wanagindaaso,animate intransitive verb,"s/he miscounts, misreads",wanagim
banizi,animate intransitive verb,s/he misses out,
bana',transitive animate verb,miss h/ (using something) Paired with:an,"bana'an, bana', bishigwandan, bishigobizh, bishigobidoon, bishigoshkaw, bishigoshkan, bishkonaw, bishkonan, bashkonaw"
gwiinawenim,transitive animate verb,"miss, feel the absence of h/ Paired with:gwiinawendan","gwiinawendan, gwiinawenim"
gichi-ziibi,inanimate noun,a big riverGichi-ziibi: the Mississippi River,
bichi-,lexical preverb,"accidentally, by accident","wanigwaazh, wanigwaadan"
awanibiisaa,inanimate intransitive verb,"it is misty, is  drizzling, is sprinkling (rain)",
wanitam,class 2 animate intransitive verb,s/he misunderstands something heard,
bakitejii'igewi-minjikaawan,animate noun,a baseball mitt,
minjikaawan,animate noun,"something worn on the hand: a mitten, a mitt, a glove",
ginigawin,transitive animate verb,mix it (animate) in Paired with:an,"ginigawinan, ginigawin, ginigawiwebinan, ginigawiwebin, dagonan, dagon, dagonigaazo"
ginigawisin,inanimate intransitive verb,it is mixed,
waninawe'igan,inanimate noun,"something used to stir or mix with: a stirring stick, an eggbeater, a mixer See also:wanawe'igan",wanawe'igan
makizin,inanimate noun,"a shoe, a moccasina tire","bashkwegino-makizin, bashkwegino-makizin, bashkweginwakizin"
apiganegwaajigan,inanimate noun,a moccasin cuff,
makizinataadiwag,animate intransitive verb,they play the moccasin game with each other,
makizinataage-nagamon,inanimate noun,a moccasin game song,
apiingwe'igan,inanimate noun,a moccasin vamp,"apiingwe'igan, apiingwe'igan"
apiingwe'igan,inanimate noun,a moccasin vamp,"apiingwe'igan, apiingwe'igan"
naabinootaw,transitive animate verb,"repeat what h/ says, mimic what s/he says",
onadin,transitive animate verb,"form, shape, knead, mold h/ (a soft substance) (by hand) Paired with:an","onadinan, onadin"
agwaagoshi,animate intransitive verb,s/he is moldy Paired with:agwaagosin,"agwaagosin, agwaagoshi, agwaagomaagwad, agwaagomaagozi, agwaagopogwad, agwaagopogozi"
nenaapaajinikesi,animate noun,a mole,ishkwaa-anama'e-giizhigad
ishkwaa-anama'e-giizhigad,inanimate intransitive verb,it is Monday,
zhooniyaa,animate noun,money,"zhooniyaakaazh, zhooniyaakaadan"
zhooniyaa-makak,inanimate noun,"a money box, a safe",
andookomeshiinh,animate noun,a monkey,andookomeshiinh
giizis,animate noun,"sun, moon, a month","inaginde, inangizo, ningo-giizis, ingo-giizis, niizho-giiziswagizi, niso-giiziswagizi, niiyo-giizis, niiyo-giiziswagizi, naano-giiziswagizi, ningodwaaso-giizis, ingodwaaso-giizis, niizhwaaso-giiziswagizi, zhaangaso-giiziswagizi, midaaso-giiziswagizi"
dibiki-giizis,animate noun,moon,"michaabikad, manoominikewi-giizis"
giizhigaate,inanimate intransitive verb,there is moonlight,
mooz,animate noun,a moose,"naabe-mooz, moozotigwaan, moozoshtigwaan"
moozo-boodaajigan,inanimate noun,a moose call,
moozowaazhawa'adoowagwaakwa'igan,inanimate noun,a moose crossing sign,
moozwegin,inanimate noun,"a tanned moose hide, moose hide leather",
giziisaga'an,transitive inanimate verb,mop it (a floor),
nawaj,degree adverb,more,
gigizhebaawagad,inanimate intransitive verb,it is morning,
bootaagan,animate noun,a mortar for wild rice See also:ni,bootaagan
niboowigamig,inanimate noun,a mortuary,
zagime,animate noun,a mosquito,
zagimewayaan,animate noun,"a mosquito net, mosquito netting",
aasaakamig,inanimate noun,moss,"mashkiigokamig, mashkiigokamig"
gookowensii,animate noun,a moth,
nimaamaa,dependent animate noun,my mother,
nizigozis,dependent animate noun,my mother-in-law,
mamaajii,animate intransitive verb,"s/he moves, is in motion, twitches",
akikoons,animate noun,an outboard motor,
waasamoo-jiimaan,inanimate noun,a motor launch,
aanjigwane,animate intransitive verb,s/he  moults,
omboomigo,animate intransitive verb,"s/he mounts a horse, gets on horseback",
wajiw,inanimate noun,a mountain,"agidajiw, agidajiw"
makominagaawanzh,animate noun,a mountain ash,inigaazi
inigaazi,animate intransitive verb,"s/he mournss/he is pitiable, is poor",
bagidenim,transitive animate verb,release h/ from your mindcomplete mourning for h/bury h/ or it (animate)let h/ or it (animate) go (and don't think about h/ or it) Paired with:bagidendan,bagidendan
waawaabiganoojiinh,animate noun,a mouse,
miishidoon,animate intransitive verb,"s/he has whiskers at h/ mouth, has a moustache See also:e","miishidoone, miishidoon"
indoon,dependent inanimate noun,my mouth,"mangidoone, mangidoon, biinidoone, biinidoon, wiinidoon, wiinidoone, wiinidoon, wiinidoone, agwanendan, agwanem, bagidandan, bagidam, agwanendan, agwanem, baagidoone, biimidoone, biimidoon"
mamaajii,animate intransitive verb,"s/he moves, is in motion, twitches","ayaa, bejibizo"
gozi,animate intransitive verb,s/he moves (h/ residence),
izhinikeni,animate intransitive verb,s/he moves h/ arm a certain way,
mazinaatese,inanimate intransitive verb,it is a movie,
mazinaatewebinigan,inanimate noun,a movie projector,
mazinaatesewigamig,inanimate noun,a movie theater,
niibiwa,quantitative adverb,a lot; many; much See also:niibowa,"niibowa, gichi-niibowa, baatayiino, baatayiinad, baatayiinad, baataniinad, baatayiino, baatayiino', baatayiinatoon, niibiwa, onzaamiino, onzaamiinad"
azhashki,inanimate noun,mud,
aajigade,animate noun,"a coot, a mud hen See also:d","daajigade, daajigade, aajigade, aajigade"
azhashkiiwan,inanimate intransitive verb,it is muddy Paired with:azhashkiiwi,"azhashkiiwi, azhashkiiwan"
bagidanaamochigan,inanimate noun,a (vehicle) muffler,
minikwaajigan,inanimate noun,"drinking vessel (larger than a cup): a glass, a mug, a tankard, a chalice",
memaangishens,animate noun,a mule,
gidagaa,inanimate intransitive verb,"it is spotted, is multi-colored Paired with:gidagizi","gidagizi, gidagiigizi, gidagiigad, gidagaabikizi, gidagaabikad"
giimoodaanagidoon,animate intransitive verb,s/he mumbles,
mamagoniishkwe,animate intransitive verb,s/he has the mumps,
nitaagewin,inanimate noun,"killing, murder",
mashkawiziiwin,inanimate noun,a muscle; power,
wazhashkwedowens,animate noun,a mushroom,
gidochige,animate intransitive verb,s/he plays music,
gidochigan,inanimate noun,"a device that speaks: a radio, a phonograph, a record player, a cd player","noondaagochigan, noondaagochigan"
mashkiig,inanimate noun,"a swamp, a muskeg",
maashkinoozhe,animate noun,a muskellunge,ozhaawashko-ginoozhe
wazhashk,animate noun,a muskrat,noozhezhashk
